"Winning_team","Losing_team","Winning","Losing"
"Memphis Grizzlies","Philadelphia 76ers",117,109
"New Orleans Pelicans","San Antonio Spurs",117,99
"Houston Rockets","Phoenix Suns",122,121
"Utah Jazz","Indiana Pacers",139,119
"Golden State Warriors","Chicago Bulls",119,111
"Dallas Mavericks","New York Knicks",121,100
"Sacramento Kings","Los Angeles Clippers",123,96
"Milwaukee Bucks","Charlotte Hornets",105,96
"Oklahoma City Thunder","Minnesota Timberwolves",135,128
"Toronto Raptors","Orlando Magic",121,108
"Golden State Warriors","Houston Rockets",120,101
"Portland Trail Blazers","Utah Jazz",116,111
"New Orleans Pelicans","Denver Nuggets",121,106
"Phoenix Suns","San Antonio Spurs",133,95
"Boston Celtics","Brooklyn Nets",103,92
"Memphis Grizzlies","Detroit Pistons",122,112
"New York Knicks","Cleveland Cavaliers",92,81
"Sacramento Kings","Chicago Bulls",110,101
"Los Angeles Lakers","Washington Wizards",130,119
"Portland Trail Blazers","Indiana Pacers",116,100
"Los Angeles Clippers","Charlotte Hornets",119,117
"Milwaukee Bucks","Orlando Magic",109,102
"Oklahoma City Thunder","Atlanta Hawks",121,114
"Boston Celtics","Toronto Raptors",116,110
"Houston Rockets","Philadelphia 76ers",132,123
"Memphis Grizzlies","Miami Heat",101,93
"Dallas Mavericks","Phoenix Suns",130,111
"Indiana Pacers","Golden State Warriors",112,104
"Cleveland Cavaliers","Los Angeles Lakers",116,102
"Detroit Pistons","Miami Heat",116,96
"Dallas Mavericks","Denver Nuggets",116,115
"Orlando Magic","Los Angeles Clippers",116,111
"Brooklyn Nets","Charlotte Hornets",122,116
"New York Knicks","Atlanta Hawks",113,89
"Toronto Raptors","Los Angeles Lakers",126,113
"Chicago Bulls","Washington Wizards",115,111
"Memphis Grizzlies","Oklahoma City Thunder",123,102
"Milwaukee Bucks","Sacramento Kings",126,113
"Minnesota Timberwolves","Indiana Pacers",121,115
"New Orleans Pelicans","Detroit Pistons",104,98
"Utah Jazz","Golden State Warriors",124,123
"Boston Celtics","Phoenix Suns",125,98
"Miami Heat","Los Angeles Clippers",115,110
"San Antonio Spurs","Houston Rockets",118,109
"Denver Nuggets","Portland Trail Blazers",121,120
"New York Knicks","Charlotte Hornets",121,102
"Indiana Pacers","Washington Wizards",121,111
"Orlando Magic","Toronto Raptors",113,109
"Brooklyn Nets","Atlanta Hawks",120,116
"Sacramento Kings","Cleveland Cavaliers",106,95
"Philadelphia 76ers","Los Angeles Lakers",133,122
"Memphis Grizzlies","Detroit Pistons",114,103
"New Orleans Pelicans","Phoenix Suns",128,117
"Minnesota Timberwolves","Utah Jazz",118,108
"Milwaukee Bucks","Dallas Mavericks",106,105
"San Antonio Spurs","Miami Heat",115,111
"Brooklyn Nets","Indiana Pacers",136,133
"Los Angeles Clippers","Washington Wizards",114,107
"Cleveland Cavaliers","Oklahoma City Thunder",110,102
"Chicago Bulls","Dallas Mavericks",144,115
"Golden State Warriors","Boston Celtics",123,107
"Denver Nuggets","Utah Jazz",115,110
"Portland Trail Blazers","Minnesota Timberwolves",124,118
"New Orleans Pelicans","Phoenix Suns",129,124
"Los Angeles Lakers","Detroit Pistons",124,117
"New York Knicks","Sacramento Kings",112,99
"Orlando Magic","Toronto Raptors",111,99
"Philadelphia 76ers","Charlotte Hornets",131,113
"Atlanta Hawks","Chicago Bulls",123,122
"Houston Rockets","Milwaukee Bucks",97,92
"Miami Heat","Indiana Pacers",87,82
"Brooklyn Nets","Washington Wizards",112,100
"Memphis Grizzlies","Atlanta Hawks",128,103
"Dallas Mavericks","Oklahoma City Thunder",121,114
"San Antonio Spurs","Cleveland Cavaliers",112,111
"Portland Trail Blazers","Minnesota Timberwolves",133,112
"Los Angeles Clippers","Boston Celtics",113,93
"Philadelphia 76ers","Sacramento Kings",123,103
"Milwaukee Bucks","Golden State Warriors",128,111
"Houston Rockets","Phoenix Suns",111,97
"Utah Jazz","New Orleans Pelicans",121,100
"Boston Celtics","Los Angeles Lakers",122,118
"Detroit Pistons","Charlotte Hornets",141,134
"Indiana Pacers","Golden State Warriors",125,119
"Orlando Magic","Atlanta Hawks",135,124
"New York Knicks","Chicago Bulls",128,120
"Sacramento Kings","Toronto Raptors",124,123
"Miami Heat","Oklahoma City Thunder",110,108
"Portland Trail Blazers","San Antonio Spurs",128,112
"Cleveland Cavaliers","Dallas Mavericks",105,90
"Denver Nuggets","Washington Wizards",141,128
"Los Angeles Clippers","Minnesota Timberwolves",99,88
"Miami Heat","Houston Rockets",111,108
"Memphis Grizzlies","Milwaukee Bucks",142,101
"Utah Jazz","New Orleans Pelicans",132,129
"Phoenix Suns","Los Angeles Clippers",111,95
"Atlanta Hawks","Charlotte Hornets",125,106
"Sacramento Kings","Detroit Pistons",122,113
"Orlando Magic","Boston Celtics",117,109
"Cleveland Cavaliers","Indiana Pacers",118,112
"Philadelphia 76ers","Golden State Warriors",118,106
"Brooklyn Nets","Toronto Raptors",119,116
"New York Knicks","Chicago Bulls",114,91
"Minnesota Timberwolves","Oklahoma City Thunder",112,110
"Dallas Mavericks","Portland Trail Blazers",130,110
"Los Angeles Lakers","Denver Nuggets",126,108
"Los Angeles Clippers","Washington Wizards",102,93
"Miami Heat","San Antonio Spurs",111,101
"Cleveland Cavaliers","Dallas Mavericks",100,99
"Portland Trail Blazers","Houston Rockets",107,95
"Milwaukee Bucks","Utah Jazz",123,97
"Oklahoma City Thunder","Memphis Grizzlies",115,109
"Phoenix Suns","New Orleans Pelicans",118,114
"Orlando Magic","Boston Celtics",95,92
"New York Knicks","Indiana Pacers",109,106
"Brooklyn Nets","Detroit Pistons",124,121
"Golden State Warriors","Toronto Raptors",126,110
